id,PublishedAt,Title,URL,Duration,ViewCount,EmbedHtml,NumChats,ChatCount,ChatRate,MedianRate,StdRate,MaxRate
203,2022-05-10 17:19:01,【xismo】作業配信月曜【うさぎいぬ】,https://www.youtube.com/watch?v=l3Pu-AYD_3Q,3:56:41,57,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/l3Pu-AYD_3Q"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",0 4 2 6 1 3 3 4 6 7 2 2 10 3 5 6 5 1 0 2 6 1 4 2 1 1 0 4 2 5 1 0 0 1 3 4 2 8 7 2 2 7 5 2 4 2 6 1.01,160,3.23,2.5,2.39,10.0
202,2022-05-09 02:33:24,【ウマ娘】ネイちゃん出るまでぶん回す。【うさぎいぬ】,https://www.youtube.com/watch?v=hKxw0bzMW3o,0:28:51,38,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/hKxw0bzMW3o"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",5 8 8 14 20 7.7,65,10.45,8.0,5.05,20.0
201,2022-05-08 10:24:29,【ボンバーガール】おうちでゴーボンできるんです！？！やります！！【うさぎいぬ】,https://www.youtube.com/watch?v=7thb7erxUsA,2:41:21,267,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/7thb7erxUsA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",3 1 2 5 7 7 12 5 5 6 4 2 4 7 4 5 0 3 8 8 1 4 7 3 9 6 6 2 10 11 2 14 1.08,178,5.28,5.0,3.33,14.0
200,2022-05-08 07:05:14,【作業配信】よ　な　よ　な　よ　な　べ　。【うさぎいぬ】,https://www.youtube.com/watch?v=eHkVKgiAfxk,7:23:11,47,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/eHkVKgiAfxk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6 1 1 2 5 4 6 1 2 0 3 1 2 9 7 7 3 4 5 2 6 4 3 0 1 1 2 1 2 1 5 1 0 0 2 3 1 6 2 3 4 3 5 3 0 8 3 8 4 3 0 2 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 2 2 2 2 5 0 0 0 0 1 0 1 1 0 1 1 0 0 0 0 1 1.91,189,2.06,1.0,2.22,9.0
199,2022-05-08 04:18:23,【steam】ブランク明けのSTG！デススマイルズMBL編 その3.5【うさぎいぬ】,https://www.youtube.com/watch?v=9AaFxjBT_RI,2:08:46,32,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/9AaFxjBT_RI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2 1 2 1 0 1 2 0 1 2 2 0 2 3 2 2 2 6 1 2 2 3 1 2 4 5.27,55,1.97,2.0,1.4,6.0
198,2022-05-07 14:23:43,【雑談】金曜深夜の軽雑談配信【うさぎいぬ】,https://www.youtube.com/watch?v=VhhN2JguwP8,1:16:13,25,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/VhhN2JguwP8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",5 4 5 4 4 2 0 3 2 1 3 4 7 4 0 0.73,52,3.05,3.5,1.91,7.0
197,2022-05-06 01:41:19,【PS4】GWなのでｶﾞﾁｬとﾕﾆｵﾝでゆる～くボーダーブレイク【うさぎいぬ】,https://www.youtube.com/watch?v=EjNh4UqPKHk,4:44:21,201,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/EjNh4UqPKHk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",3 2 0 4 2 3 5 2 2 3 5 2 1 2 4 2 7 11 6 7 1 1 6 3 2 5 1 5 9 15 5 11 3 3 8 13 6 2 7 4 5 3 8 4 0 4 3 0 2 0 6 0 0 4 0 1 5.22,230,4.0,3.0,3.28,15.0
196,2022-05-03 15:33:58,【絵その他】バーチャル美少女になりたいのですが…3日目！【うさぎいぬ】,https://www.youtube.com/watch?v=MH8d6lz9ajw,2:21:06,38,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/MH8d6lz9ajw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6 2 3 1 1 4 2 2 4 2 3 4 2 1 2 1 4 5 7 5 6 4 9 3 3 4 1 2 0.22,94,3.21,3.0,2.01,9.0
195,2022-05-01 08:22:39,【steam】ブランク明けのSTG！デススマイルズMBL編 その2.5【うさぎいぬ】,https://www.youtube.com/watch?v=aoy2PIXrBug,2:12:51,20,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/aoy2PIXrBug"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",3 1 2 3 1 4 4 1 1 0 2 2 0 0 0 0 1 1 2 0 1 1 1 1 0 1 1.14,35,1.26,1.0,1.14,4.0
194,2022-04-30 07:00:32,【配信テスト】Switch買ったので試験運転【うさぎいぬ】,https://www.youtube.com/watch?v=l8WXpIzt4BE,2:51:00,30,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/l8WXpIzt4BE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2 5 2 5 3 6 5 3 3 7 5 8 9 4 5 2 3 5 3 3 4 2 3 8 2 3 4 3 4 3 0 1 1 1 0.6,131,3.65,3.0,2.11,9.0
193,2022-04-30 04:11:43,【雑談】金曜深夜の軽雑談配信【うさぎいぬ】,https://www.youtube.com/watch?v=MvCFx-s2lKM,3:00:03,38,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/MvCFx-s2lKM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",10 5 1 1 1 3 3 4 5 3 1 1 1 3 3 4 2 4 2 4 3 2 3 3 5 6 5 6 7 7 3 2 5 3 6 4,132,3.64,3.0,2.02,10.0
192,2022-04-29 03:27:37,深夜の雑作業配信【うさぎいぬ】,https://www.youtube.com/watch?v=dWfwqKvL53k,2:09:31,27,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/dWfwqKvL53k"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",5 0 1 2 1 1 2 1 1 0 0 3 5 4 2 1 2 1 0 4 5 4 11 11 17 7.23,93,3.51,2.0,4.01,17.0
191,2022-04-28 15:13:12,【cubase】音作業配信【うさぎいぬ】,https://www.youtube.com/watch?v=f1K0ROpVVe4,2:02:51,35,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/f1K0ROpVVe4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2 3 2 5 2 4 2 0 1 2 5 5 4 9 7 4 3 7 4 4 0 2 2 0 1.71,83,3.23,3.0,2.22,9.0
190,2022-04-27 15:05:14,【多分クリスタ？】髪が気になるんですが…どうすっけかのう【うさぎいぬ】,https://www.youtube.com/watch?v=T2DqRiajB1Y,1:51:15,35,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/T2DqRiajB1Y"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2 0 0 3 2 3 4 2 0 2 2 0 0 0 0 1 1 0 0 2 1 2 0.0,29,1.17,1.0,1.2,4.0
189,2022-04-26 15:20:32,【絵など】バーチャル美少女になりたいのですが…2日目！【うさぎいぬ】,https://www.youtube.com/watch?v=SiuS4SlZ9vY,2:14:40,28,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/SiuS4SlZ9vY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6 1 1 0 3 3 3 1 1 6 1 2 8 6 3 2 4 7 4 3 3 0 7 5 5 9 8.4,104,3.79,3.0,2.6,9.0
188,2022-04-24 08:48:01,【steam】ブランク明けのSTG！デススマイルズMBL編 その1【うさぎいぬ】,https://www.youtube.com/watch?v=1FwJ1Prc2Z8,2:38:56,36,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/1FwJ1Prc2Z8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",3 3 2 4 4 5 1 5 3 1 3 3 0 2 2 1 2 1 0 0 0 1 1 3 4 4 2 2 6 2 6 4.72,83,2.52,2.0,1.7,6.0
187,2022-04-23 14:53:44,【雑談】金曜深夜の軽雑談配信【うさぎいぬ】,https://www.youtube.com/watch?v=6vXlqTl8NCc,1:44:56,37,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/6vXlqTl8NCc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",9 8 11 7 3 5 5 4 2 5 7 5 5 6 5 6 2 8 1 7 5.92,120,5.57,5.0,2.36,11.0
186,2022-04-21 15:14:49,【cubase】もろもろBGMとかこさえたい配信【うさぎいぬ】,https://www.youtube.com/watch?v=OmbawAI0c0c,2:03:11,21,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/OmbawAI0c0c"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",3 2 0 4 2 1 2 1 0 0 1 0 2 0 1 0 1 1 0 0 2 0 3 3 3.18,36,1.29,1.0,1.23,4.0
185,2022-04-20 03:32:16,ﾊﾞｰﾁｬﾙ「肉」修正作業配信【うさぎいぬ】,https://www.youtube.com/watch?v=58aT6VDekeU,2:19:53,32,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/58aT6VDekeU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",2 1 2 0 1 0 1 4 2 0 2 4 3 5 1 1 0 3 2 0 2 2 0 1 0 1 5 5.86,52,1.82,1.5,1.66,5.86
184,2022-04-19 15:09:18,【絵など】バーチャル美少女になりたいのですが…1日目！【うさぎいぬ】,https://www.youtube.com/watch?v=bgddT6DUwG4,1:56:56,80,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/bgddT6DUwG4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",6 9 4 26 16 3 12 6 4 5 9 12 6 9 6 9 4 10 9 6 3 11 6 0.39,192,7.97,6.0,5.11,26.0
